id,group,condition,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1001,artists,common,STOP,stop,BUS,bus,0.6408,0.7801,0.76789,0.62537,0.58456,0.67974,-0.0193
1001,artists,free,TIRE,tire,BUS,bus,0.74871,0.83251,0.89247,0.98449,0.76458,0.84455,0.1024
1001,artists,uncommon,VOLKSWAGON,volkswagon,BUS,bus,,0.99322,0.75487,,1.09472,0.9476,0.16639
1001,artists,uncommon,COLOR,color,BUTTERFLY,butterfly,0.8176,0.83748,0.89043,1.0215,0.85876,0.88515,0.14217
1001,artists,common,WING,wing,BUTTERFLY,butterfly,0.69047,0.77294,0.86892,0.95292,0.86693,0.83044,0.08302
1001,artists,free,WING,wing,BUTTERFLY,butterfly,0.69047,0.77294,0.86892,0.95292,0.86693,0.83044,0.08302
1001,artists,uncommon,MSG,msg,CAKE,cake,0.79144,0.79088,0.92816,0.86097,1.0711,0.88851,0.16373
1001,artists,common,SUGAR,sugar,CAKE,cake,0.58319,0.77385,0.75904,0.6933,0.58902,0.67968,-0.03848
1001,artists,free,SUGAR,sugar,CAKE,cake,0.58319,0.77385,0.75904,0.6933,0.58902,0.67968,-0.03848
1001,artists,common,CABBAGE,cabbage,CELERY,celery,0.52886,0.55239,0.58192,0.69636,0.42413,0.55673,-0.15944
1001,artists,free,CABBAGE,cabbage,CELERY,celery,0.52886,0.55239,0.58192,0.69636,0.42413,0.55673,-0.15944
1001,artists,uncommon,ROUGHAGE,roughage,CELERY,celery,0.71076,0.40232,0.65139,1.0529,0.87105,0.73768,-0.012
1001,artists,uncommon,NEST,nest,FIR TREE,fir tree,1.01353,1.01806,0.98625,1.04292,1.01334,1.01482,0.28315
1001,artists,free,PLYWOOD,plywood,FIR TREE,fir tree,0.95488,0.99049,1.01369,1.02986,1.04356,1.0065,0.27143
1001,artists,common,WOOD,wood,FIR TREE,fir tree,0.9726,1.02706,1.04246,1.03214,0.96415,1.00768,0.27784
1001,artists,common,INSTRUMENT,instrument,FLUTE,flute,0.57376,0.60221,0.64314,0.60344,0.50647,0.5858,-0.11221
1001,artists,uncommon,PEASANT,peasant,FLUTE,flute,0.7727,0.80535,0.89403,0.99404,0.94656,0.88254,0.13624
1001,artists,free,PIPE,pipe,FLUTE,flute,0.65318,0.87964,0.69871,0.97427,0.67186,0.77553,0.00716
1001,artists,common,KNIFE,knife,FORK,fork,0.52347,0.50566,0.68017,0.74943,0.66998,0.62574,-0.0994
1001,artists,free,KNIFE,knife,FORK,fork,0.52347,0.50566,0.68017,0.74943,0.66998,0.62574,-0.0994
1001,artists,uncommon,METAL,metal,FORK,fork,0.81194,0.80001,0.8943,0.87769,0.87944,0.85268,0.13347
1001,artists,common,CURLS,curls,HAIRDRESSER,hairdresser,0.74703,0.59251,0.78765,0.72258,0.81777,0.73351,0.03926
1001,artists,uncommon,GOSSIP,gossip,HAIRDRESSER,hairdresser,0.80117,0.85596,0.83114,1.02263,0.84771,0.87172,0.12078
1001,artists,free,HAIR CURLER,hair curler,HAIRDRESSER,hairdresser,1.05303,1.00497,1.00293,0.55505,0.99128,0.92145,0.27465
1001,artists,free,COLDPRESSED,coldpressed,JUICE,juice,,,,,,,
1001,artists,common,HEALTH,health,JUICE,juice,0.88654,0.96961,0.98153,1.03637,0.90615,0.95604,0.21557
1001,artists,uncommon,PIGMENT,pigment,JUICE,juice,0.85757,0.8718,0.81513,0.94624,0.83262,0.86467,0.13183
1001,artists,free,DAISY,daisy,LILY,lily,0.65079,0.83195,0.63865,0.99656,0.64378,0.75235,-0.0197
1001,artists,common,FLOWER,flower,LILY,lily,0.63756,0.75968,0.62696,0.93038,0.59325,0.70957,-0.04729
1001,artists,uncommon,LIMP,limp,LILY,lily,0.76533,1.01535,0.92274,0.94058,0.99276,0.92735,0.17291
