id,group,FORK,SKIRT,MUSTARD,BUTTERFLY,CELERY,LILY,STOMACH,SILVER,PINEAPPLE,BUS,SALMON,UNCLE,RABBIT,HAIRDRESSER,TABLECLOTH,ZEBRA,LIP,CAKE,FLUTE,THUMB,WRENCH,FIR TREE,JUICER,RAVEN
1001,artists,KNIFE,DRESS,KETCHUP,WINGS,CABBAGE,FLOWER,INTESTINE,SHINING,SALAD,STOP,RIVER,FAMILY,HAT,CURLS,BENCH,STRIPES,SKIN,SUGAR,INSTRUMENT,HITCHHIKE,TOOL,WOOD,HEALTH,NEST
1002,artists,KNIFE,CLOTHING,SAUCE,ANIMAL,VEGETABLE,FLOWER,LEGS,METAL,FRUIT,TRANSPORTATION,FISH,MOM,DOG,SCISSORS,CHAIRS,ANIMAL,NOSE,SPOON,GUITAR,HAND,TOOLS,WOOD,WATER,WINGS
1003,artists,SPOON,SHORTS,KETCHUP,INSECT,CARROT,BLOSSOM,FOOD,GOLD,FRUIT,CAR,FISH,AUNT,EASTER,HAIRCUT,CHAIR,STRIPE,MOUTH,PIE,MUSIC,HAND,TOOL,GREEN,THIRSTY,BIRD
1004,artists,SPOON,WOMAN,KETCHUP,BEAUTIFUL,GREEN,PAD,ACHE,GOLD,SOUR,SCHOOL,FISH,AUNT,HOLE,SCISSORS,WOOD,STRIPES,GLOSS,EAT,MUSIC,PRINT,TOOL,CHRISTMAS TREE,ORANGE,BLACK
1005,artists,KNIFE,PANTS,KETCHUP,CATERPILLAR,CARROT,FLOWER,ACHE,GOLD,COCONUT,TRAIN,FISH,AUNT,BUNNY,HAIRCUT,CHAIR,LION,MOUTH,ICE CREAM,MAGIC,FINGER,TOOL,CHRISTMAS,APPLE,NEVERMORE
1006,artists,KNIFE,COVER,KETCHUP,FLIGHT,DIET,DAY,DIGEST,TARNISH,FRUIT,TRANSPORTATION,FISH,AUNT,BURROW,CUT,CHAIR,STRIPE,MUSTACHE,PEACE,SOUND,UP,TIGHTEN,NEEDLE,DRINK,BLACK
1007,artists,SPOON,PANTS,KETCHUP,COCOON,VEGETABLE,FLOWER,ACHE,GOLD,FRUIT,CAR,FISH,AUNT,ANIMAL,HAIRCUT,CHAIR,AFRICA,MOUTH,BIRTHDAY,MUSIC,FINGER,TOOL,CHRISTMAS,FRUIT,BIRD
1008,artists,SPOON,SHORTS,KETCHUP,MOTH,VEGETABLE,FLOWER,ORGAN,GOLD,FRUIT,CAR,FISH,RELATIVE,BUNNY,BARBER,CHAIR,ANIMAL,MOUTH,DESSERT,INSTRUMENT,FINGER,TOOL,PINE,APPLE,BIRD
1009,artists,KNIFE,TIGHTS,KETCHUP,COCOON,PEANUT BUTTER,ROSE,MOUTH,GOLD,HAWAII,TRAIN,FISH,AUNT,BUNNY,BARBER,CHAIR,STRIPE,MOUTH,ICE CREAM,CLARINET,HAND,SCREWDRIVER,PINE,ORANGE,BIRD
1010,artists,POKE,GIRL,KETCHUP,WINGS,PEANUT BUTTER,POND,LARGE,SHINY,SWEET,SCHOOL,PINK,AUNT,HOP,CHAIR,FLAT,STRIPES,SOFT,SWEET,SOUND,FINGER,TOOL,GREEN,ORANGE,CLAW
