id,group,FORK,SKIRT,MUSTARD,BUTTERFLY,CELERY,LILY,STOMACH,SILVER,PINEAPPLE,BUS,SALMON,UNCLE,RABBIT,HAIRDRESSER,TABLECLOTH,ZEBRA,LIP,CAKE,FLUTE,THUMB,WRENCH,FIR TREE,JUICER,RAVEN
1001,artists,KNIFE,DRESS,KETCHUP,WING,CABBAGE,DAISY,KIDNEY,POLISH,SALAD,TIRE,STREAM,BAND,HAT,SCISSORS,BENCH,STRIPE,TOOTH,SUGAR,PIPE,FINGER,HAMMER,PLYWOOD,BEET,NEST
1002,artists,METAL,DESIGN,PREPARATION,MOVEMENT,LONG,SKINNY,ROUND,MIRROR,NEW YEAR'S EVE,WHEELS,BONES,BLACK,WHITE,SASSOON,FELT,STRIPES,BOXING,SPOON,TALE,BRACELET,MOTOR,LEAVES,ORANGE,RENT
1003,artists,BITE,LEGS,BITTER,LOFT,WIRE,WATER,INTESTINE,TARNISH,SPIKES,SUPERMAN,COT,BROTHER,PELLET,PERM,DIRTY,HABITAT,CUT,DRY,THIRSTY,SCAN,TIGHT,SHADE,BACTERIA,COLD
1004,artists,PITCH,PANTS,SORBET,PEACOCK,TASTY,FUNERAL,PLUMBING,NITRATE,SOUP,FAST,SCALE,YOUNGER,LUCKY,APPOINTMENT,SETTING,GRAY,BLACK,NUTRITIOUS,OBNOXIOUS,TOOL,BOLT,TROPICAL,COLORFUL,HOPE
1005,artists,SPOON,DRESS,KETCHUP,COCOON,CARROT,PANSY,ACHE,GOLD,KUMQUAT,TRAIN,TROUT,AUNT,DOG,ACCOUNTANT,CHAIR,HORSE,TONGUE,COOKIES,PIANO,FINGER,SCREWDRIVER,OAK TREE,WATER,CROW
1006,artists,KNIFE,SHORT,KETCHUP,FLY,CRUNCH,DAY,DIGEST,GOLD,SWEET,SLOW,UPSTREAM,AUNT,HOLE,CUT,CHAIR,STRIPES,KISS,EAT,SOUND,WRESTLING,TIGHTEN,NEEDLE,DRINK,BLACK
1007,artists,SPOON,CHASE,HOT DOG,COCOON,PEANUT BUTTER,DEATH,CHURN,WARE,COLADA,SCHOOL,BAKED,AUNT,CATCH,HAIRCUT,CHAIR,LION,MOUTH,EAT,ORCHESTRA,UP,BOLT,FOREST,JUICER,BLACK
1008,artists,ROAD,ISSUE,CONDIMENT,STOMACH,BLOODY MARY,DEATH,INTESTINES,WEALTH,HAWAII,STOP,OIL,RELATIVE,WHITE,GAY,MESA,ZOO,KISS,EAT,MELODY,DIVE,MONKEY,STUMP,FRUIT,POE
1009,artists,KNIFE,DRESS,KETCHUP,COCOON,CARROT,VALLEY,MOUTH,GOLD,ORANGE,TRAIN,COLOR,FATHER,HARE,SALON,CHAIR,STRIPE,MOUTH,DECORATE,PLAY,FINGER,HAMMER,PINE,MILK,BLACK
1010,artists,SPOON,HAIR,SHIRT,FIELD,BROCCOLI,POND,MUSCLE,GOLD,FRUIT,YELLOW,RIVER,AUNT,GRASS,CHAIR,LEGS,STRIPES,FACE,SWEET,SOUNDS,HAND,TOOL,GREEN,SWEET,DARK
1011,artists,SPOON,FUR,KETCHUP,WING,CARROTS,FLOWER,TUMMY,HAIR,SPIKY,RIDE,FISH,GRANDPA,HARE,PURPLE,CLOTH,STRIPES,PUCKERED,FROSTING,HOLES,FLEXIBLE,METAL,BRANCHES,CRANBERRY,BLACK
1012,artists,KNIFE,DRESS,KETCHUP,TREES,CARROTS,POND,INTESTINE,GOLD,WATERMELON,CARS,TROUT,AUNTY,FIELDS,SCISSORS,SPOON,HORSE,TEETH,FROSTING,VIOLIN,PALMS,HAMMER,PALM,ORANGE,BIRD
1013,artists,EAT,WOMAN,HOTDOG,FLOWERS,CRUNCH,SMELL,HURT,RING,DRINK,PEOPLE,DELICIOUS,DARK,CUTE,AWESOME,FLAT,STRIPED,FULL,EAT,SOUND,SUCK,TOOL,BEAUTIFUL,SWEET,BLACK
1014,artists,SPOON,LEGS,KETCHUP,WORM,RAISINS,PAD,ISSUES,GOLD,STRAW,STOP,PATTY,AUNT,SKIN,WOMAN,SAW,STRIPES,RING,CANDLE,STRAW,SOCK,SPOKE,KNOT,BAR,CROW
1015,artists,KNIFE,PANTS,MAYONNAISE,WORM,STALK,ROSE,ACHE,GOLD,FRUIT,CAR,DINNER,AUNT,EARS,HAIRCUT,CHAIRS,STRIPES,GLOSS,BIRTHDAY,MUSIC,FINGER,KNIFE,OAK,ORANGE,BIRD
1016,artists,SPOON,DRESS,SAUCE,ENVELOP,STICK,VIOLET,ACHE,INGOT,EXPRESS,RIDE,SPAWN,FESTER,TRICK,SALON,CHAIR,ALPHABET,RING,PARTY,SALON,NAIL,CHECK,FIRE,APPLE,QUOTH
1017,artists,KNIFE,LEGGINGS,MAYONNAISE,WINGS,ROOTS,VALLEY,ULCER,GOLD,DISGUSTING,BUST,FIREFLY,SAY,BUNNY,CUT,SAW,PAINTED,MUSTACHE,CHOCOLATE,MAGIC,DRIVE,SOCKET,BEETLE,BEETLE,TREE
1018,artists,SPOON,SHIRT,KETCHUP,BIRD,STALK,VALLEY,ACHE,LINING,HAWAII,STOP,SWIM,AUNT,HOLE,BARBER,CLOTH,STRIPE,SERVICE,DESSERT,INSTRUMENT,HAND,FIX,CHRISTMAS,FRESH,BLACK
1019,artists,KNIFE,SHIRT,KETCHUP,BUTTER,CANARY,LIKE,STAR,SLUT,PORCUPINE,BUST,SLAM,ORATOR,REST,HI,TRESTLE,MICROPHONE,LUST,CRUST,FLU,TRUST,RENT,FUR,JUST,RAKE
1020,artists,SPOON,DRESS,KETCHUP,SNAKE,CARROT,POND,ACHE,GOLD,SPEAR,TRAIN,CATCH,WIFE,SQUIRREL,GAY,CHAIR,HORSE,KISS,EAT,BLOW,UP,SCREW,BEND,SQUEEZE,BLACK
1021,artists,KNIFE,SHORT,KETCHUP,LUCK,DIET,FLOWER,FLU,GOLD,PEE,CAR,FISH,MONEY,HOP,BLONDE,CHAIR,HORSE,MOUTH,EAT,HORROR,FINGER,SOCKET,EVERGREEN,LIQUID,CROW
1022,artists,TABLE,LEGS,HOTDOG,NET,GREEN,POND,LINING,LINING,SKIN,DRIVER,SKIN,CRY,HOLE,MIRROR,TURN,MILK,MUSTACHE,CRYING,MEAT,DRIVE,RANCH,BARK,ORANGE,BLACK
1023,artists,TIRE,DRESS,SEED,COCOON,FIBER,PAD,INTESTINES,RING,WELCOME,STOP,FISH,AUNT,BUNNY,CUT,CHAIR,STRIPES,STICK,WALK,PICCOLO,PRINT,SCREW,FUR COAT,ORANGE,BLACK
1024,artists,KNIFE,CHASE,GAS,NET,STALK,POND,ACHE,SPOON,COCKTAIL,TICKET,RUN,CAPITULATE,FOOT,MOM,TOP,STRIPES,LOGO,LAYER,PROGRESSIVE,TACK,MONKEY,LUMBERJACK,ORANGE,CLAW
