id,group,FORK,SKIRT,MUSTARD,BUTTERFLY,CELERY,LILY,STOMACH,SILVER,PINEAPPLE,BUS,SALMON,UNCLE,RABBIT,HAIRDRESSER,TABLECLOTH,ZEBRA,LIP,CAKE,FLUTE,THUMB,WRENCH,FIR TREE,JUICER,RAVEN
1001,artists,METAL,FIBER,FLOWER,COLOR,ROUGHAGE,LIMP,SAUSAGE,LINING,TROPICAL,HIPPIE,SILVER,TELEVISION,HOLE,GOSSIP,MEAL,HORSE,TOOTH,FLAVOR,PEASANT,NAIL,WEAPON,NEST,PIGMENT,FEATHER
1002,artists,SPOON,PANTS,TIGHTS,FLOWER,HORSE,FLOWER,LEGS,GOLD,ORANGE,CAR,FISH,BEEF,ANIMAL,JOB,CHAIRS,ANIMAL,NOSE,SPOON,INSTRUMENT,FINGER,RENT,OAK,HOME DEPOT,RAVE
1003,artists,SPOON,DRESS,KETCHUP,ORANGE,CARROT,FLOWER,PAIN,GOLD,BLUE,TRUCK,STREAM,AUNT,FURRY,SMELL,CHAIR,STRIPE,BALM,TOO,MELODY,PRINT,HAMMER,MOUNTAIN,SWEET,BLACK
1004,artists,FOOD,SHIELD,MELON,YELLOW,CRUNCHY,PAD,ACHE,SHIELD,TEXTURE,YELLOW,SWIM,BROTHER,HOLE,BEAUTICIAN,STURDY,ZOO,SPEAK,EAT,MUSIC,TACK,SCREWDRIVER,MANGO,GLASS,DARK
1005,artists,INTERSECTION,HEM,SEED,AFFECT,CRUNCH,VALLEY,GASTROPOD,FILLINGS,PIZZA,METRO,SMOKED,COUSIN,FOOT,BLOWDRYER,PLACEMAT,HOOF BEATS,SORE,MOVIE,LIP,NAIL,SOCKET,NEEDLES,POMEGRANATE,BLACK
1006,artists,TIME,TWIRL,SPICY,COCOON,SOUND,DEATH,PUNCH,CONDUCTIVITY,SWEET,SEGREGATION,LOCKS,QUIT,HOLE,EXPENSIVE,QUIT,HORSE,ATTITUDE,BAKE,WOODWIND,NAIL,REMOVE,EVERGREEN,HEALTH,NEVERMORE
1007,artists,DINNER,GIRLFRIEND,BASEBALL,SPRING,BLOODY,VALLEY,MEDUTTO,PIRATE,BOMB,CRASH,UPSTREAM,SAD,TRAP,PERMANENT,UNDER,AFRICA,BALM,LAYER,WINE,RING,POWER TOOL,LEAVES,PASTEURIZED,CROW
1008,artists,SPOON,DRESS,KETCHUP,LARVAE,CARROT,FLOWER,FLU,CREAMER,JUICE,CAR,FISH,AUNT,BUNNY,MANICURIST,CHAIR,HORSE,MOUTH,CUPCAKE,CLARINET,FINGER,HAMMER,DECIDUOUS,APPLE,CROW
1009,artists,TINE,FELT,SEED,VIENNA,STRING,SMELL,ANXIETY,NITRATE,QUENCH,PORT,SCALE,MERCY,JOINT,PULL,ELEMENTAL,WOOD,EDGE,MILLE FLEURE,FOLD,UP,SOCKET,GRAIN,NECTAR,PAINT CHIP
1010,artists,METAL,PLEATED,BROWN,CATERPILLAR,STALK,PETALS,STRETCH,SPOON,SPIKY,SLOW,SCALES,FAMILY,TAIL,LOUD,WORK,FAST,RED,LAYER,WOODWIND,ROUND,SILVER,WOODS,SOUR,BIRD
1011,artists,NAPKIN,BOW,MAYONNAISE,HORNET,RUTABAGA,STEM,HAIRY,TONGUE,SOUR,TIRES,SCALES,NIECE,LION,CURLERS,WOODEN,MONOTONE,PAINTED,SPONGE,SILVER,PINK,RUSTY,INFESTED,UNLAWFUL,FEATHERED
1012,artists,WORMS,UNDERPANTS,VINEGAR,POWDER,HAIRS,FROGS,ACHE,MYSTERIOUS,CLEAN,DOWNTOWN,WILD,STRANGE,BITE,TRANSVESTITE,WORK,PAJAMA,CUTS,RAW,BIBLICAL,SIGNATURE,BUILDING,FIBERS,CARROT,SHINY
1013,artists,HARD,FABRIC,BITTER,SATIN,STRINGY,DAINTY,GRUMBLING,BLINDING,MANGO,SHIP,TROUT,MAN,DUCK,TRANSGENDER,WOOD,PATTERN,EAR,FRUIT,BELLS,TOE,SCREWDRIVER,CORNFIELD,SOUR,MYSTERY
1014,artists,EYE,ASS,SPILL,MOTH,ANTS,PAINT,BLOAT,PRECIOUS,POKE,DEAD,UPSTREAM,TOPHAT,GLUE,WEED,DANCE,FEAR,PULL,STRIPPER,BONE,CAKE,SPOKE,FALL,GRIND,REBIRTH
1015,artists,IMPLEMENT,EVADE,SEED,CATERPILLAR,CUT,WHITE,LINING,GLISTEN,TROPICAL,TRANSPORT,PINK,RELATIVE,HARE,APPEARANCE,DELAY,DISGUISE,CURL,ICING,LYRICAL,PROBE,OBSTACLE,GROW,PULP,CLEVERNESS
1016,artists,SOFTWARE,PARK,CLUE,MIGRATION,PAINT,MEDIEVAL,RUMINANT,CONDUCTION,CUT,COMPETITION,CARBON,PUZZLE,PREGNANCY,LEAD,AVOIDANCE,SIGNAL,VOLCANO,DIVORCE,CHAOS,EVOLUTION,CLOCKWISE,PERMANENT,POISON,ECSTASY
1017,artists,TONGUE,HEMLINES,MONKS,FLUTTERING,JICAMA,TRANSFORMATION,ENZYME,SPURS,RUINOUS,EFFICIENT,PROBLEMATIC,ANTHROPOLOGIST,PREGNANCY,MANNEQUIN,SCULPTURE,HUNTED,VOLCANO,EYELINER,NYMPH,DICTATORSHIP,SEPTIC,SITTING,STEROIDS,WIRE
1018,artists,TINES,BLOWING,YELLOW,PATTERNED,CHEEZ-WIZ,SCENT,BLADDER,COINS,DICED,ACCIDENT,UPSTREAM,VILLAIN,ESCAPING,VICTIM,BOOK,HIGH CONTRAST,MOVING,CANDY,PIERCING,APE,PULL,BEETLE,LIQUID,POEM
1019,artists,DINNER,FABRIC,HOTSAUCE,FLOWER,GREEN,VIOLET,STERNUM,DIAMOND,PORCUPINE,ROAD,STREAM,NEIGHBOR,TAIL,PAYMENT,UNDER,ZERO,LICK,KNIFE,MUSIC,HAND,DOOR,GRASS,CUCUMBER,BLACK
1020,artists,LIFT,CHASER,SEED,CATCH,DIP,DEATH,CANCER,PLATED,CUBES,HELICOPTER,SHRIMP,SISTER,MUNCH,STYLIST,CLOTH,HYDE,SWOLLEN,MIX,GOLDEN,GREEN,PLUMBER,FIREWOOD,SEEDS,NEST
1021,artists,DEVIL,MASCULINE,SPICE,LUCK,DEATH,ANDROGYNY,COWS,COLOR,FLOWER,TIME,PROCREATION,OLDER,CHOCOLATE,STYLIST,COUNTER,PATTERN,HERPES,EATERS,PAN,PLUM,REMOVE,MINK,WET,BROTHERLY
1022,artists,EYE,AVOID,BROWN,EFFECT,DISGUSTING,HAIR,BILE,BULLET,PRICKLY,POVERTY,BEARS,MOTHER,SKIN,BURNING,SEX,CATTLE,FAT,FISH,WEAPON,BUTT,BRUNCH,FIRE,MONKEY,EYES
1023,artists,CONSUME,KNEE,PLANT,CHRYSALIS,LEECH,POND,GASTRONOMY,ELEMENT,PRICK,CARBON,TENACITY,FORGIVENESS,PROLIFERATION,SCULPTURE,DISCONTINUE,EMERGENCE,FLAKE,DENSITY,WHISPER,OPPOSITION,CATASTROPHE,MOUNTAIN,SQUEEZE,INTELLIGENCE
