"","id","item","response","group","condition"
"1","1001","BUS","STOP","artists","common"
"2","1001","BUS","TIRE","artists","free"
"3","1001","BUS","VOLKSWAGON","artists","uncommon"
"4","1001","BUTTERFLY","COLOR","artists","uncommon"
"5","1001","BUTTERFLY","WING","artists","common"
"6","1001","BUTTERFLY","WING","artists","free"
"7","1001","CAKE","MSG","artists","uncommon"
"8","1001","CAKE","SUGAR","artists","common"
"9","1001","CAKE","SUGAR","artists","free"
"10","1001","CELERY","CABBAGE","artists","common"
"11","1001","CELERY","CABBAGE","artists","free"
"12","1001","CELERY","ROUGHAGE","artists","uncommon"
"13","1001","FIR TREE","NEST","artists","uncommon"
"14","1001","FIR TREE","PLYWOOD","artists","free"
"15","1001","FIR TREE","WOOD","artists","common"
"16","1001","FLUTE","INSTRUMENT","artists","common"
"17","1001","FLUTE","PEASANT","artists","uncommon"
"18","1001","FLUTE","PIPE","artists","free"
"19","1001","FORK","KNIFE","artists","common"
"20","1001","FORK","KNIFE","artists","free"
"21","1001","FORK","METAL","artists","uncommon"
"22","1001","HAIRDRESSER","CURLS","artists","common"
"23","1001","HAIRDRESSER","GOSSIP","artists","uncommon"
"24","1001","HAIRDRESSER","HAIR CURLER","artists","free"
"25","1001","JUICE","COLD-PRESSED","artists","free"
"26","1001","JUICE","HEALTH","artists","common"
"27","1001","JUICE","PIGMENT","artists","uncommon"
"28","1001","LILY","DAISY","artists","free"
"29","1001","LILY","FLOWER","artists","common"
"30","1001","LILY","LIMP","artists","uncommon"
"31","1001","LIP","SKIN","artists","common"
"32","1001","LIP","TOOTH","artists","free"
"33","1001","LIP","TOOTH","artists","uncommon"
"34","1001","MUSTARD","FLOWER","artists","uncommon"
"35","1001","MUSTARD","KETCHUP","artists","common"
"36","1001","MUSTARD","KETCHUP","artists","free"
"37","1001","PINEAPPLE","CARIBBEAN","artists","free"
"38","1001","PINEAPPLE","SALAD","artists","common"
"39","1001","PINEAPPLE","TROPICAL","artists","uncommon"
"40","1001","RABBIT","HAT","artists","common"
"41","1001","RABBIT","HAT","artists","free"
"42","1001","RABBIT","HOLE","artists","uncommon"
"43","1001","RAVEN","FEATHER","artists","uncommon"
"44","1001","RAVEN","NEST","artists","common"
"45","1001","RAVEN","NEST","artists","free"
"46","1001","SALMON","RIVER","artists","common"
"47","1001","SALMON","SILVER","artists","uncommon"
"48","1001","SALMON","STREAM","artists","free"
"49","1001","SILVER","LINING","artists","uncommon"
"50","1001","SILVER","POLISH","artists","free"
"51","1001","SILVER","SHINING","artists","common"
"52","1001","SKIRT","DRESS","artists","common"
"53","1001","SKIRT","DRESS","artists","free"
"54","1001","SKIRT","FIBER","artists","uncommon"
"55","1001","STOMACH","INTESTINE","artists","common"
"56","1001","STOMACH","KIDNEY","artists","free"
"57","1001","STOMACH","SAUSAGE","artists","uncommon"
"58","1001","TABLE","BENCH","artists","common"
"59","1001","TABLE","BENCH","artists","free"
"60","1001","TABLE","MEAL","artists","uncommon"
"61","1001","THUMB","FINGER","artists","free"
"62","1001","THUMB","HITCHHIKE","artists","common"
"63","1001","THUMB","NAIL","artists","uncommon"
"64","1001","UNCLE","BAND","artists","free"
"65","1001","UNCLE","FAMILY","artists","common"
"66","1001","UNCLE","TELEVISION","artists","uncommon"
"67","1001","WRENCH","HAMMER","artists","free"
"68","1001","WRENCH","TOOL","artists","common"
"69","1001","WRENCH","WEAPON","artists","uncommon"
"70","1001","ZEBRA","HORSE","artists","uncommon"
"71","1001","ZEBRA","STRIPE","artists","common"
"72","1001","ZEBRA","STRIPE","artists","free"
"73","1002","BUS","CAR","artists","uncommon"
"74","1002","BUS","TRANSPORTATION","artists","common"
"75","1002","BUS","WHEEL","artists","free"
"76","1002","BUTTERFLY","ANIMAL","artists","common"
"77","1002","BUTTERFLY","FLOWER","artists","uncommon"
"78","1002","BUTTERFLY","MOVEMENT","artists","free"
"79","1002","CAKE","SPOON","artists","common"
"80","1002","CAKE","SPOON","artists","free"
"81","1002","CAKE","SPOON","artists","uncommon"
"82","1002","CELERY","HORSE","artists","uncommon"
"83","1002","CELERY","LONG","artists","free"
