id,item,response,group,condition
1001,BUS,STOP,artists,common
1001,BUTTERFLY,WINGS,artists,common
1001,CAKE,SUGAR,artists,common
1001,CELERY,CABBAGE,artists,common
1001,FIR TREE,WOOD,artists,common
1001,FLUTE,INSTRUMENT,artists,common
1001,FORK,KNIFE,artists,common
1001,HAIRDRESSER,CURLS,artists,common
1001,JUICER,HEALTH,artists,common
1001,LILY,FLOWER,artists,common
1001,LIP,SKIN,artists,common
1001,MUSTARD,KETCHUP,artists,common
1001,PINEAPPLE,SALAD,artists,common
1001,RABBIT,HAT,artists,common
1001,RAVEN,NEST,artists,common
1001,SALMON,RIVER,artists,common
1001,SILVER,SHINING,artists,common
1001,SKIRT,DRESS,artists,common
1001,STOMACH,INTESTINE,artists,common
1001,TABLECLOTH,BENCH,artists,common
1001,THUMB,HITCHHIKE,artists,common
1001,UNCLE,FAMILY,artists,common
1001,WRENCH,TOOL,artists,common
1001,ZEBRA,STRIPES,artists,common
1001,BUS,TIRE,artists,free
1001,BUTTERFLY,WING,artists,free
1001,CAKE,SUGAR,artists,free
1001,CELERY,CABBAGE,artists,free
1001,FIR TREE,PLYWOOD,artists,free
1001,FLUTE,PIPE,artists,free
1001,FORK,KNIFE,artists,free
1001,HAIRDRESSER,SCISSORS,artists,free
1001,JUICER,BEET,artists,free
1001,LILY,DAISY,artists,free
1001,LIP,TOOTH,artists,free
1001,MUSTARD,KETCHUP,artists,free
1001,PINEAPPLE,SALAD,artists,free
1001,RABBIT,HAT,artists,free
1001,RAVEN,NEST,artists,free
1001,SALMON,STREAM,artists,free
1001,SILVER,POLISH,artists,free
1001,SKIRT,DRESS,artists,free
1001,STOMACH,KIDNEY,artists,free
1001,TABLECLOTH,BENCH,artists,free
1001,THUMB,FINGER,artists,free
1001,UNCLE,BAND,artists,free
1001,WRENCH,HAMMER,artists,free
1001,ZEBRA,STRIPE,artists,free
1001,BUS,HIPPIE,artists,uncommon
1001,BUTTERFLY,COLOR,artists,uncommon
1001,CAKE,FLAVOR,artists,uncommon
1001,CELERY,ROUGHAGE,artists,uncommon
1001,FIR TREE,NEST,artists,uncommon
1001,FLUTE,PEASANT,artists,uncommon
1001,FORK,METAL,artists,uncommon
1001,HAIRDRESSER,GOSSIP,artists,uncommon
1001,JUICER,PIGMENT,artists,uncommon
1001,LILY,LIMP,artists,uncommon
1001,LIP,TOOTH,artists,uncommon
1001,MUSTARD,FLOWER,artists,uncommon
1001,PINEAPPLE,TROPICAL,artists,uncommon
1001,RABBIT,HOLE,artists,uncommon
1001,RAVEN,FEATHER,artists,uncommon
1001,SALMON,SILVER,artists,uncommon
1001,SILVER,LINING,artists,uncommon
1001,SKIRT,FIBER,artists,uncommon
1001,STOMACH,SAUSAGE,artists,uncommon
1001,TABLECLOTH,MEAL,artists,uncommon
1001,THUMB,NAIL,artists,uncommon
1001,UNCLE,TELEVISION,artists,uncommon
1001,WRENCH,WEAPON,artists,uncommon
1001,ZEBRA,HORSE,artists,uncommon
1002,BUS,TRANSPORTATION,artists,common
1002,BUTTERFLY,ANIMAL,artists,common
1002,CAKE,SPOON,artists,common
1002,CELERY,VEGETABLE,artists,common
1002,FIR TREE,WOOD,artists,common
1002,FLUTE,GUITAR,artists,common
1002,FORK,KNIFE,artists,common
1002,HAIRDRESSER,SCISSORS,artists,common
1002,JUICER,WATER,artists,common
1002,LILY,FLOWER,artists,common
1002,LIP,NOSE,artists,common
1002,MUSTARD,SAUCE,artists,common
1002,PINEAPPLE,FRUIT,artists,common
1002,RABBIT,DOG,artists,common
1002,RAVEN,WINGS,artists,common
1002,SALMON,FISH,artists,common
1002,SILVER,METAL,artists,common
1002,SKIRT,CLOTHING,artists,common
1002,STOMACH,LEGS,artists,common
1002,TABLECLOTH,CHAIRS,artists,common
1002,THUMB,HAND,artists,common
1002,UNCLE,MOM,artists,common
1002,WRENCH,TOOLS,artists,common
1002,ZEBRA,ANIMAL,artists,common
1002,BUS,WHEELS,artists,free
1002,BUTTERFLY,MOVEMENT,artists,free
1002,CAKE,SPOON,artists,free
1002,CELERY,LONG,artists,free
1002,FIR TREE,LEAVES,artists,free
1002,FLUTE,TALE,artists,free
1002,FORK,METAL,artists,free
1002,HAIRDRESSER,SASSOON,artists,free
1002,JUICER,ORANGE,artists,free
1002,LILY,SKINNY,artists,free
1002,LIP,BOXING,artists,free
1002,MUSTARD,PREPARATION,artists,free
1002,PINEAPPLE,NEW YEAR'S EVE,artists,free
1002,RABBIT,WHITE,artists,free
1002,RAVEN,RENT,artists,free
1002,SALMON,BONES,artists,free
1002,SILVER,MIRROR,artists,free
1002,SKIRT,DESIGN,artists,free
1002,STOMACH,ROUND,artists,free
1002,TABLECLOTH,FELT,artists,free
1002,THUMB,BRACELET,artists,free
1002,UNCLE,BLACK,artists,free
1002,WRENCH,MOTOR,artists,free
1002,ZEBRA,STRIPES,artists,free
1002,BUS,CAR,artists,uncommon
1002,BUTTERFLY,FLOWER,artists,uncommon
1002,CAKE,SPOON,artists,uncommon
1002,CELERY,HORSE,artists,uncommon
1002,FIR TREE,OAK,artists,uncommon
1002,FLUTE,INSTRUMENT,artists,uncommon
1002,FORK,SPOON,artists,uncommon
1002,HAIRDRESSER,JOB,artists,uncommon
1002,JUICER,HOME DEPOT,artists,uncommon
1002,LILY,FLOWER,artists,uncommon
1002,LIP,NOSE,artists,uncommon
1002,MUSTARD,TIGHTS,artists,uncommon
1002,PINEAPPLE,ORANGE,artists,uncommon
1002,RABBIT,ANIMAL,artists,uncommon
1002,RAVEN,RAVE,artists,uncommon
1002,SALMON,FISH,artists,uncommon
1002,SILVER,GOLD,artists,uncommon
1002,SKIRT,PANTS,artists,uncommon
1002,STOMACH,LEGS,artists,uncommon
1002,TABLECLOTH,CHAIRS,artists,uncommon
1002,THUMB,FINGER,artists,uncommon
1002,UNCLE,BEEF,artists,uncommon
1002,WRENCH,RENT,artists,uncommon
1002,ZEBRA,ANIMAL,artists,uncommon
1003,BUS,CAR,artists,common
1003,BUTTERFLY,INSECT,artists,common
1003,CAKE,PIE,artists,common
1003,CELERY,CARROT,artists,common
1003,FIR TREE,GREEN,artists,common
1003,FLUTE,MUSIC,artists,common
1003,FORK,SPOON,artists,common
1003,HAIRDRESSER,HAIRCUT,artists,common
1003,JUICER,THIRSTY,artists,common
1003,LILY,BLOSSOM,artists,common
1003,LIP,MOUTH,artists,common
1003,MUSTARD,KETCHUP,artists,common
