id,group,condition,response,response_clean,item,item_clean,SemDis_MEAN,SemDis_factor
1001,artists,common,STOP,stop,BUS,bus,0.67974,-0.0127
1001,artists,common,WINGS,wings,BUTTERFLY,butterfly,0.66129,-0.05947
1001,artists,common,SUGAR,sugar,CAKE,cake,0.67968,-0.03069
1001,artists,common,CABBAGE,cabbage,CELERY,celery,0.55673,-0.15608
1001,artists,common,WOOD,wood,FIR TREE,fir tree,1.00768,0.2758
1001,artists,common,INSTRUMENT,instrument,FLUTE,flute,0.5858,-0.10804
1001,artists,common,KNIFE,knife,FORK,fork,0.62574,-0.09247
1001,artists,common,CURLS,curls,HAIRDRESSER,hairdresser,0.73351,0.04001
1001,artists,common,HEALTH,health,JUICER,juicer,0.9565,0.22916
1001,artists,common,FLOWER,flower,LILY,lily,0.70957,-0.05943
1001,artists,common,SKIN,skin,LIP,lip,0.70574,-0.03389
1001,artists,common,KETCHUP,ketchup,MUSTARD,mustard,0.57433,-0.08329
1001,artists,common,SALAD,salad,PINEAPPLE,pineapple,0.62249,-0.04747
1001,artists,common,HAT,hat,RABBIT,rabbit,0.73391,0.01
1001,artists,common,NEST,nest,RAVEN,raven,0.68833,-0.02006
1001,artists,common,RIVER,river,SALMON,salmon,0.74767,0.02456
1001,artists,common,SHINING,shining,SILVER,silver,0.72491,0.01756
1001,artists,common,DRESS,dress,SKIRT,skirt,0.43406,-0.24473
1001,artists,common,INTESTINE,intestine,STOMACH,stomach,0.42326,-0.22929
1001,artists,common,BENCH,bench,TABLECLOTH,tablecloth,0.86426,0.11575
1001,artists,common,HITCHHIKE,hitchhike,THUMB,thumb,0.88717,0.18435
1001,artists,common,FAMILY,family,UNCLE,uncle,0.68637,-0.09594
1001,artists,common,TOOL,tool,WRENCH,wrench,0.67733,0.0027
1001,artists,common,STRIPES,stripes,ZEBRA,zebra,0.71542,-0.01173
1001,artists,free,TIRE,tire,BUS,bus,0.84455,0.10787
1001,artists,free,WING,wing,BUTTERFLY,butterfly,0.83044,0.08637
1001,artists,free,SUGAR,sugar,CAKE,cake,0.67968,-0.03069
1001,artists,free,CABBAGE,cabbage,CELERY,celery,0.55673,-0.15608
1001,artists,free,PLYWOOD,plywood,FIR TREE,fir tree,1.0065,0.26471
1001,artists,free,PIPE,pipe,FLUTE,flute,0.77553,-0.00476
1001,artists,free,KNIFE,knife,FORK,fork,0.62574,-0.09247
1001,artists,free,SCISSORS,scissors,HAIRDRESSER,hairdresser,0.8164,0.05767
1001,artists,free,BEET,beet,JUICER,juicer,0.75064,0.08612
