"","Response_01","Response_02","Response_03","Response_04","Response_05","Response_06","Response_07","Response_08","Response_09","Response_10","Response_11","Response_12","Response_13","Response_14","Response_15","Response_16","Response_17","Response_18","Response_19","Response_20","Response_21","Response_22","Response_23","Response_24","Response_25","Response_26","Response_27","Response_28","Response_29","Response_30","Response_31","Response_32","Response_33","Response_34","Response_35","Response_36","Response_37","Response_38","Response_39","Response_40","Response_41"
"1021","cat","dog","zebra","lion","ape","monkey","gorilla","human","tiger","bird","raven","crow","blackbird","parrot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1022","orangutan","gorilla","chimpanzee","leopard","puma","cheetah","panther","parakeet","sloth","lion","tiger","giraffe","elephant","porcupine","pigeon","swallow","woodpecker","snake","lizard","rhinoceros","gazelle","oryx","prairie dog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023","ant","orangutan","spider","zebra","yak","warthog","xenops","bee","lobster","dog","elephant","frog","hog","boar","lion","parrot","giraffe","iguana","jaguar","panther","mountain lion","lemur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1024","penguin","camel","lion","tiger","bird","ostrich","cassowary","field mouse","rat","earthworm","hummingbird","kangaroo","platypus","elephant","whale","halibut","pilot fish","spider","daddy long legs","raccoon","lamprey","badger","fox","wolf","woodpecker","butterfly","krill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1025","aardvark","cat","dog","porcupine","badger","finch","kingfisher","seagull","beluga","whale","humpback whale","blue whale","orca","dolphin","polar bear","penguin","pig","cow","frog","lizard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026","blue jay","eagle","egret","dove","bird","pig","dog","snake","lizard","chameleon","worm","deer","horse","antelope","caribou","mammoth","tyrannosaurus rex","python","alligator","crocodile","flamingo","turtle","fish","starfish","sea urchin","manta ray","lionfish","danio","coral","sea sponge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1027","badger","snake","bird","anteater","alligator","elephant","cow","dog","cat","fish","toad","ant","lion","tiger","bear","raven","zebra","worm","insect","caterpillar","cricket","rat","mouse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1028","porpoise","dolphin","cougar","bear","salmon","pike","elephant","hippopotamus","bird","parrot","dog","cat","mouse","opossum","skunk","deer","moose","albatross","armadillo","snake","rattlesnake","cobra","donkey","rhinoceros","lizard","whale","narwhal","baleen whale","ape","monkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030","frog","fish","shark","ferret","cat","dog","fox","squirrel","wolf","cow","cheetah","leopard","tiger","horse","donkey","mule","whale","seal","asian elephant","eagle","hawk","duck","aardvark","lemur","chimpanzee","camel","gorilla","giraffe","goat","llama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1031","antelope","anteater","turtle","tortoise","fish","dog","cat","frog","salmon","reindeer","polar bear","black bear","owl","hummingbird","crow","raven","fox","red panda","panda","koala","kangaroo","tasmanian devil","beaver","tyrannosaurus rex","velociraptor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032","quail","rabbit","mourning dove","ewe","sheep","bighorn sheep","coyote","dog","cat","gerbil","hamster","camel","ostrich","giraffe","pig","boar","cow","goat","duck","goose","swan","pigeon","oriole","chicken","blue jay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033","zebra","walrus","cat","dog","raven","crow","ant","manatee","porpoise","pill bug","spider","bobcat","tiger","lion","lynx","amoeba","parrot","macaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034","dog","cat","ferret","squirrel","ground squirrel","wolf","bear","tiger","elephant","rooster","lizard","rabbit","pig","rat","gopher","hawk","crow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5001","dog","horse","cat","ant","dove","pigeon","bird","giraffe","rhinoceros","elephant","tasmanian devil","gorilla","lion","tiger","chimpanzee","orangutan","mouse","rat","fish","gecko","chameleon","snake","raccoon","squirrel","chick","cow","goat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001","aardvark","giraffe","zebra","finch","dog","cat","bird","robin","parrot","penguin","whale","blackbird","eagle","bear","raccoon","fox","porpoise","rhinoceros","deer","gazelle","jaguar","cougar","lion","tiger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003","dog","cat","bear","mouse","rat","snake","spider","zebra","alligator","condor","falcon","hawk","eagle","raven","blue jay","dove","seagull","seal","penguin","polar bear","moose","elk","buffalo","wolf","goat","gazelle","antelope","boa constrictor","coral snake","rabbit","llama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004","cat","dog","horse","donkey","sheep","cow","chicken","rooster","turkey","hummingbird","coyote","wolf","mule","seal","elephant seal","turtle","fish","shark","whale","dolphin","narwhal","eagle","falcon","crow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005","ant","beetle","worm","butterfly","dragonfly","bird","marlin","falcon","finch","sparrow","woodpecker","owl","ibis","heron","salmon","trout","salamander","beaver","bear","wolf","coyote","rat","chipmunk","squirrel","monkey","orangutan","chimpanzee","gorilla","human","mouse","rodent","tree frog","lizard","snake",NA,NA,NA,NA,NA,NA,NA
"2006","horse","cow","rabbit","pig","dolphin","bear","fox","zebra","giraffe","hyena","marmot","beaver","dog","cat","guinea pig","rat","squirrel","chipmunk","wolf","wolverine","hare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007","pig","cow","monkey","duck","goat","sheep","lamb","giraffe","lion","tiger","hippopotamus","horse","rat","fish","orangutan","opossum","armadillo","skunk","rhinoceros","deer","elk","pony","donkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008","goat","sheep","cow","horse","chicken","donkey","giraffe","gorilla","monkey","zebra","lion","tiger","elephant","rat","rabbit","gopher","alligator","crocodile","ostrich","parakeet","parrot","robin","crow","mouse","pig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","alligator","aardvark","iguana","bear","barracuda","cat","dog","deer","elephant","fish","goat","cheetah","moose","baboon","monkey","antelope","horse","giraffe","gazelle","wolf","vulture","robin","swallow","pelican","flamingo","dolphin","whale","sting ray","pufferfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012","centipede","seahorse","platypus","dugong","cheetah","tiger","elephant","zebra","anaconda","python","scorpion","earthworm","gorilla","orangutan","chimpanzee","cobra","viper","barracuda","shark","whale","dog","cat","lizard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013","zebra","donkey","monkey","parrot","crow","rabbit","whale","dolphin","walrus","otter","seal","starfish","fish","clam","lobster","sheep","cow","rooster","dog","pig","goat","goose","elephant","lion","leopard","cat","hyena","wolf","bear","bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014","gorilla","ape","orangutan","mole","robin","bear","armadillo","giraffe","dog","cat","lizard","whale","dolphin","shark","eagle","vulture","guinea pig","worm","snake","alligator","crocodile","moose","horse","cow","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","ant","zebra","giraffe","elephant","lion","tiger","bear","antelope","dog","cat","leopard","hippopotamus","lemur","ape","pig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017","ant","bat","fox","frog","snail","snake","squirrel","bear","seagull","goose","chicken","american coot","turtle","crocodile","alligator","crane","eagle","hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018","fish","kangaroo","zebra","horse","dog","duck","goat","bird","eagle","tortoise","dolphin","wolf","sloth","alligator","crocodile","beetle","ant","worm","rhinoceros","hippopotamus","gorilla","monkey","chimpanzee","butterfly","polar bear","brown bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019","sheep","cow","goat","elephant","alligator","bluebird","octopus","dolphin","whale","shark","goldfish","monkey","mole","mouse","rat","panda","black bear","dugong","ostrich","penguin","wren","partridge","blue jay","snake","crocodile","salamander","tortoise","turtle","cockroach","spider","ant","bee","wasp","mosquito","pig","dog","cat","wolf","fox","warthog",NA
"2020","dolphin","seagull","whale","shark","dinosaur","falcon","eagle","rat","mouse","horse","cow","bull","goat","sheep","cat","dog","elephant","wolf","lion","jaguar","bear","mammoth","antelope","gazelle","zebra","buffalo","crocodile","seahorse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021","alligator","abalone","badger","cat","cougar","dog","anteater","bear","elephant","giraffe","antelope","gazelle","deer","pig","horse","cow","bird","fish","frog","snake","shark","dolphin","whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","rabbit","dog","cat","zebra","elephant","cuckoo","rhinoceros","horse","lion","tiger","wolverine","bear","deer","antelope","cow","pig","kangaroo","muskox","monkey","ape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023","cheetah","snake","fish","dog","cat","bird","snail","elephant","tiger","goat","frog","shark","ostrich","coyote","leopard","giraffe","penguin","bear","rabbit","crocodile","kangaroo","koala","panda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024","giraffe","hippopotamus","dog","cat","mountain lion","lion","zebra","fish","flamingo","snow leopard","jaguar","rat","rattlesnake","penguin","raven","vulture","albatross","seagull","bear","polar bear","ladybug","spider","lizard","coyote","peacock","wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025","pig","cow","sheep","dog","cat","tiger","orangutan","monkey","coyote","bear","wolf","groundhog","ground squirrel","bat","flying fox","fox","panther","cougar","lion","turkey","chicken","duck","pigeon","ant","spider","fly","snail","crab","turtle","lizard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2026","pangolin","sea slug","nudibranch","tardigrade","sun bear","rhinoceros hornbill","boar","kangaroo","marmot","lemur","beetle","caterpillar","scorpion","tarantula","tarantula hawk","blue whale","lamprey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2027","bear","badger","beaver","aardvark","zebra","giraffe","mouse","muskox","ibex","skunk","cat","dog","fox","vixen","hare","rabbit","donkey","mule","ant","butterfly","bird","fish","halibut","gnu","goat","lion","tiger","snake","worm","snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2028","dog","cat","bird","horse","mouse","rat","zebra","lion","tiger","bear","mountain lion","giraffe","jaguar","elephant","rhinoceros","pig","goat","hog","donkey","mule","sloth","toucan","parrot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2030","snake","frog","fish","owl","bird","mouse","lion","tiger","bear","bush baby","monkey","gorilla","ape","baboon","cat","dog","egret","wren","hen","walrus","zebra","parrot","ferret",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2032","dog","cat","beaver","ferret","leopard","lion","tiger","jaguar","puma","mountain lion","mouse","rat","kangaroo","eagle","falcon","osprey","sparrow","robin","ant","spider","mosquito","bear","elephant","zebra","giraffe","okapi","weasel","chinchilla","mink","hamster","gerbil","whale","dolphin","porpoise","bass","carp","catfish","marlin","narwhal","walrus","seal"
"2033","dog","cat","xenops","horse","danio","zebrafish","fish","octopus","cow","wolf","bear","giraffe","zebra","lizard","snake","mouse","rat","mosquito","leech","whale","dolphin","cougar","bobcat","coyote","sasquatch","grizzly bear","mink","otter","volvox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2034","cat","dog","donkey","horse","alligator","bear","elephant","giraffe","mouse","rat","hamster","gerbil","rabbit","monkey","gorilla","orangutan","lemur","kangaroo","snake","hippopotamus","rhinoceros","porcupine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2035","elephant","ostrich","rabbit","dog","cat","eagle","worm","whale","dolphin","shark","turtle","giraffe","lion","tiger","bear","gopher","beaver","canary","parrot","blue jay","robin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2036","horse","cat","bee","dog","tiger","sheep","goat","cow","lion","giraffe","turtle","fish","whale","snake","antelope","elephant","pig","boar","bird","squirrel","bear","panda","mountain lion","frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2037","monkey","lion","tiger","bear","sheep","dog","cow","cat","hamster","gerbil","snake","salamander","gecko","goldfish","bluebird","blue jay","parrot","spider","tarantula","fly","guppy","shark","whale","dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
