"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"aardvark",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.416666666666667,0,0,0,0.416666666666667,0,0.416666666666667,0.645497224367903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0.416666666666667,0.416666666666667,0,0,0,0,0,0,0,0,0,0.645497224367903,0,0,0
"alligator",0,1,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0.547722557505166,0,0,0,0,0,0,0.284267621807481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ant",0,0,1,0,0,0,0,0.518544972870135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632455532033676,-0.471404520791032,0,0.440385506050544,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,0.440385506050544,0,0,0,0,0,0,0.65
"anteater",0,0.416666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547722557505166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0
"antelope",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0.547722557505166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.416666666666667,0
"ape",0,0,0,0,0,1,0,0.547722557505166,0,0,0,-0.21320071635561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.645497224367903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bear",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.522232967867094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.272727272727273,0,0,0,0,0,0,0,0,0.440385506050544,0,0,0.337349542469993,0,0,0,0,0,0,0,0
"bird",0,0,0.518544972870135,0,0,0.547722557505166,0,1,-0.304290309725092,0,0,-0.0259499648053841,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0.447213595499958,0,0.547722557505166,0.700649049745371,0,0,0,0.518544972870135,0,-0.471404520791032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518544972870135
"blue jay",0,0,0,0,0,0,0,-0.304290309725092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.408248290463863,0,0,0,0,0.416666666666667,0,0,0,0.645497224367903,0,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"cat",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.645497224367903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316227766016838,0,0,0,-0.440385506050544,0,-0.645497224367903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
