"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"aardvark",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293640068444207,0,0,0,0,0,0,0,0,0,0,0.293640068444207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597614304667197,0,0,0,0
"alligator",0,1,0,0,0,0,-0.321269802057843,0,0,0,0,0,0,0,0,0,0,0,0,0.275646806067923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153106363164822,0,0,0,0,0,0,0,0,0
"ant",0,0,1,0,0,0,0,0,0,0,0,0,0,0.368604890387243,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
"anteater",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0.25,0,0,0,0
"antelope",0,0,0,0,1,0,0,0,0,-0.411376675603721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229227953237502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268566327241283
"ape",0,0,0,0,0,1,0,0.433200112721982,0,0,0,0,0,0,0,0,0.134839972492648,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.282038037408883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bear",0,-0.321269802057843,0,0,0,0,1,0,-0.395284707521047,0,0,0,0,0,0,0,0,0,0,-0.480670319495552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158113883008419,0,0,0,0,0,0,-0.341121146168977,0,0,0,0,0,0,0,0,0
"bird",0,0,0,0,0,0.433200112721982,0,1,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316227766016838,0,0,0,0,0,0,0,0,0.20385887657505,0,0,0,0,0,0,0,0,0,0,0,0,0.298807152333598,0,0,0,0,0
"blue jay",0,0,0,0,0,0,-0.395284707521047,0,1,0.0693375245281536,0,0.51604684654214,0,0,0,0,0,0,0,0.366899692852671,0.35,-0.25,0,0,0,0,0.328687867566958,0,0,0.35,0,0.625,0,-0.216930457818656,0,0,0,0.438229910601107,0.847791247890659,0,0,0.25,0.25,0.35,0,0,0,0,0,0,0,0,-0.395284707521047,0,0,-0.316227766016838,0.184302445193621,0.340692571934623
"cat",0,0,0,0,-0.411376675603721,0,0,0,0.0693375245281536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.693375245281536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188982236504614
"cheetah",0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.47026997156298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51604684654214,0,0,0,0,0,0,0,0,0.186040275160228,0,0,0,0,0,0,0
