"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"aardvark",1,0,0,0,0,0,0,0,0,0,0.270833333333333,0,-0.315063018906302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221162934232346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alligator",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.547267233169888,0,0,0,0,0,0,0,0,0,0.286896275567448,0,0,0,0,0,0.359494295458103,0,0,-0.474608026875176,0,0,0,0,-0.247456698866216
"ant",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,-0.392856356907858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0.294017618780332,0,0,0,0,0,0,0
"anteater",0,0,0,1,0.159130987416042,0,0,0,0,0,0,0,0,0.298456439592633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"antelope",0,0,0,0.159130987416042,1,0.232191265450476,0,0,0,0.247593784236069,0,0,0,-0.195529486695138,0,0,-0.320256307610174,0,0,0.392856356907858,0,0,0,0,0,0.25,0,0,0,-0.134005042034562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ape",0,0,0,0,0.232191265450476,1,0,0,0,0,0,0,0,0,0,0,-0.211340986102904,0,0,0,0,0,0,0,0,-0.293294230042707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bear",0,0,0,0,0,0,1,0,0,0.530668630505232,0,-0.269407953040162,0,0,0.408248290463863,0,0,-0.269407953040162,0,0.0857492925712544,0,0,0,0,0.288675134594813,0,-0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bird",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43007561540389,0,0.46475800154489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299183036802706,0,0.170388550274119,0,0,0,0,0,0
"blue jay",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.211340986102904,0,0,0,0,0,0,0,0,0,0,0,-0.349089958725762,0,0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0,0,0,0,0,0,0,0,0.551441633735729,0,0,0,0,0,0,0
"cat",0,0,0,0,0.247593784236069,0,0.530668630505232,0,0,1,0,-0.313164384590661,0,0,0.897527467855751,0,-0.0792934711266737,-0.313164384590661,0,0.316364338557842,0,0,0,0,0.218844054766204,0,-0.341144119610507,0,0,0,0,0,0,0,0,-0.247593784236069,0,-0.195402298850575,0,0,0,0,0,0,0,0,0,0,0,0,0.206896551724138,0,0,0,0.393919298579168,0,0,0
